filename,bleu,rouge1,rougeL,token_f1,bert_f1,jaccard,total_awarded,total_possible,quiz_score
q1_qwen2.5_rag_answers.txt,0.0299,0.2427,0.2185,0.1964,0.8637,0.1321,21.0,43,48.84
q1_qwen2.5_answers.txt,0.0168,0.2415,0.2061,0.2083,0.8675,0.1366,18.0,43,41.86
q1_phi4_rag_answers.txt,0.0318,0.2458,0.2195,0.2115,0.866,0.1356,21.0,43,48.84
q1_phi4_answers.txt,0.0222,0.2463,0.22,0.2048,0.8603,0.1375,27.0,43,62.79
q1_mistral_rag_answers.txt,0.0319,0.2372,0.2171,0.189,0.8647,0.1269,19.0,43,44.19
q1_mistral_answers.txt,0.0176,0.1859,0.1748,0.1285,0.8498,0.0974,10.0,43,23.26
q1_llama3.2_rag_answers.txt,0.0243,0.2151,0.2033,0.15,0.8494,0.1145,17.0,43,39.53
q1_llama3.2_answers.txt,0.019,0.1809,0.172,0.115,0.8349,0.095,26.0,43,60.47
q1_deepseek-r1_rag_answers.txt,0.0392,0.2288,0.2183,0.2068,0.8633,0.1248,19.0,43,44.19
q1_deepseek-r1_answers.txt,0.035,0.2261,0.2157,0.2056,0.8608,0.1245,20.0,43,46.51
