filename,bleu,rouge1,rougeL,token_f1,bert_f1,jaccard,total_awarded,total_possible,quiz_score
q2_soln_qwen2.5_answers.txt,0.0029,0.0436,0.0428,0.035,0.8337,0.0183,7.0,100,7.0
q2_soln_phi4_answers.txt,0.0018,0.0315,0.0315,0.021,0.8255,0.012,19.0,100,19.0
q2_soln_mistral_answers.txt,0.001,0.0484,0.0477,0.025,0.8095,0.0192,21.0,100,21.0
q2_soln_llama3.2_answers.txt,0.0009,0.045,0.0446,0.0223,0.8052,0.0178,19.0,100,19.0
q2_soln_deepseek-r1_answers.txt,0.0022,0.0499,0.0487,0.0358,0.8272,0.0214,31.0,100,31.0
q1_soln_qwen2.5_answers.txt,0.0069,0.1224,0.1059,0.0909,0.8252,0.0609,21.0,100,21.0
q1_soln_phi4_answers.txt,0.0067,0.1184,0.1018,0.0995,0.8307,0.0617,26.0,100,26.0
q1_soln_mistral_answers.txt,0.0052,0.1271,0.1216,0.07,0.816,0.0626,36.0,100,36.0
q1_soln_llama3.2_answers.txt,0.0052,0.1258,0.1185,0.0641,0.818,0.0633,34.0,100,34.0
q1_soln_deepseek-r1_answers.txt,0.0063,0.1271,0.1197,0.0854,0.8117,0.0626,42.0,100,42.0
