filename,bleu,rouge1,rougeL,token_f1,bert_f1,jaccard,total_awarded,total_possible,quiz_score
q1_mistral_answers.txt,0.0964,0.3088,0.2958,0.2674,0.8499,0.1869,135.0,316,42.72
q1_llama3.2_rag_answers.txt,0.0753,0.2663,0.2545,0.2314,0.8362,0.1569,119.0,316,37.66
q1_llama3.2_answers.txt,0.0886,0.3021,0.2907,0.2572,0.8505,0.179,127.0,316,40.19
q1_deepseek-r1_rag_answers.txt,0.0287,0.2315,0.2159,0.1896,0.8286,0.1286,135.0,316,42.72
q1_deepseek-r1_answers.txt,0.0177,0.2081,0.1938,0.1694,0.8225,0.1136,127.0,316,40.19
q1_qwen2.5_rag_answers.txt,0.0234,0.1948,0.1817,0.147,0.8194,0.1069,102.0,316,32.28
q1_qwen2.5_answers.txt,0.0236,0.2006,0.1858,0.1547,0.8236,0.1105,105.5,316,33.39
q1_phi4_rag_answers.txt,0.0086,0.1678,0.1506,0.1196,0.8168,0.0915,60.0,316,18.99
q1_phi4_answers.txt,0.0052,0.1587,0.1384,0.1162,0.8133,0.0856,47.0,316,14.87
q1_mistral_rag_answers.txt,0.1226,0.3282,0.3149,0.2885,0.8559,0.2049,161.0,316,50.95
